,Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
8781,Department of Transportation,Troy,7586 U.S. Highway 40,Troy,62294,Madison,15,John Shimkus,108,Meier Charles,54,Kyle McCarter,In Use,2015,2015,150,1,0,0,Utiility & Miscellan,Storage,
8782,Department of Transportation,"District 8, Hamel Maintenance Storage Facility",6284 Hamel Drive,Hamel,62046,Madison,15,John Shimkus,108,Meier Charles,54,Kyle McCarter,In Use,2015,2015,150,1,0,0,Utiility & Miscellan,Storage,
8784,Western Illinois University,Western Illinois University - Macomb,985 China Road,Macomb,61455,McDonough,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Progress,2015,2015,1120,1,0,0,Education,,
8787,Department of Military Affairs,Rantoul Military Affairs,204 West Borman Drive,Rantoul,61866,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Progress,2015,2015,25335,2,0,0,Assembly,Storage,
8788,Department of Military Affairs,Rantoul Military Affairs,204 West Borman Drive,Rantoul,61866,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Progress,2015,2015,17512,2,0,0,Education,Business,
8789,Department of Military Affairs,Rantoul Military Affairs,204 West Borman Drive,Rantoul,61866,Champaign,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Progress,2015,2015,88657,4,0,0,Residential,Business,
8791,Department of Transportation,Monmouth Traffic Operations - Warren County,"710 180th Ave., Route 4, Box 6A",Monmouth,61462,Warren,17,Cheri Bustos,94,Frese Randy E.,47,Jil Tracy,In Progress,2016,2016,3600,1,0,0,Storage,Storage,
8792,Department of Corrections,Jacksonville Correctional Center - Morgan County,2268 East Morton Avenue,Jacksonville,62650,Morgan,18,Darin M. LaHood,100,Davidsmeyer C. D.,50,Wm. Sam McCann,In Use,2015,2015,384,1,0,0,Not provided,Storage,
8793,Department of Transportation,Fap310 Rte 111-Mitchell,5987 State Route 111,Edwardsville,62025,Madison,17,Cheri Bustos,72,Halpin Michael,36,Neil Anderson,In Progress,2015,2015,6110,1,0,0,Storage,Storage,
8794,Department of Transportation,Robinson Maintenance Yard - Crawford County,13125  East 1050th Avenue,Robinson,62454,Crawford,15,John Shimkus,110,Phillips Reginald,55,Dale A. Righter,In Progress,2015,2015,2464,1,0,0,Storage,,
8795,Department of Transportation,Olney Maintenance Storage Facility - Richland County,3964 North Gentry Road,Olney,62450,Richland,15,John Shimkus,109,Reis David B.,55,Dale A. Righter,In Progress,2016,2016,2464,1,0,0,Storage,,
8796,Department of Transportation,Charleston Maintenance Yard,369 West Coolidge,Charleston,61930,Coles,15,John Shimkus,110,Phillips Reginald,55,Dale A. Righter,In Progress,2016,2016,2464,1,0,0,Storage,,
8797,Department of Transportation,Vandalia Maintenance Facility - Fayette County,910 Imco Drive,Vandalia,61247,Fayette,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Progress,2016,2016,3105,1,0,0,Storage,,
8799,Department of Transportation,Pierron Maintenance Facility,13701 Schuster Road,Pierron,62273,Madison,15,John Shimkus,108,Meier Charles,54,Kyle McCarter,In Progress,0,2016,4368,1,0,0,Utiility & Miscellan,Storage,
8808,Department of Transportation,Galena Maintenance Storage Facility,5988 High Ridge Road,Galena,61036,Jo Daviess,17,Cheri Bustos,89,Stewart Brian W.,45,Tim Bivins,In Progress,0,2017,2923,1,0,0,Storage,Storage,
